AMS,ORD,IB3721,805,EUR313.25
AMS,ORD,FI501,880,EUR444.90
AMS,ORD,FI501,1487,EUR444.90
AMS,ORD,FI501,1505,EUR444.90
AMS,ORD,EI603,685,EUR725.70
