JFK,RTM,TK4,1035,USD935.80
JFK,RTM,LH405,925,USD2302.00
JFK,RTM,LH405,925,USD2302.00
JFK,RTM,LH405,925,USD2302.00
JFK,RTM,LH405,925,USD2302.00
